sku,Collection,Type,Handle,Variant Name,Variant Price,In Stock,URL,Image Src,Body
,,,Adamjee Lawn Festive Mid-Summer Collection 2016 – Design 12 - Ornamental Dream,,,,,https://cdn.shopify.com/s/files/1/0666/3041/products/d12-800x1167.jpg?v=1571438799,
,,,Adamjee Lawn Festive Mid-Summer Collection 2016 – Design 12 - Ornamental Dream,,,,,https://cdn.shopify.com/s/files/1/0666/3041/products/Design-12C-800x1167.jpg?v=1571438799,
€“ Design 6 - Chintz Palampose,Adamjee Lawn Festive Mid-Summer Collection 2016,Pakistani Suit,Adamjee Lawn Festive Mid-Summer Collection 2016 – Design 6 - Chintz Palampose,Default Title,2045.25,No,https://www.yourlibaas.com/products/adamjee-lawn-festive-mid-summer-collection-2016-design-6-chintz-palampose,https://cdn.shopify.com/s/files/1/0666/3041/products/d06-800x1167.jpg?v=1571438799,"<table id=""hb_msg_container"" class=""hb-headline-text"" width=""100%""><tbody><tr><td style=""width: 25.7009%;"">Brand</td><td style=""width: 72.1184%;"">Adamjee Lawn (100% Original)</td></tr><tr><td style=""width: 25.7009%;"">Fabric</td><td style=""width: 72.1184%;"">Cambric Shirt<br>Embroidered Neckline<br>Embroidered Patti<br>Dyed Trouser 2.5m<br>Voil Dupatta 2.5m</td></tr><tr><td style=""width: 25.7009%;"">Size</td><td style=""width: 72.1184%;"">Free Size – Unstitched</td></tr><tr><td style=""width: 25.7009%;""><span>100% Original</span></td><td style=""width: 72.1184%;""><span>Authenticity Guaranteed</span></td></tr></tbody></table>"
,,,Adamjee Lawn Festive Mid-Summer Collection 2016 – Design 6 - Chintz Palampose,,,,,https://cdn.shopify.com/s/files/1/0666/3041/products/Design-6B-800x1167.jpg?v=1571438799,
,,,Adamjee Lawn Festive Mid-Summer Collection 2016 – Design 6 - Chintz Palampose,,,,,https://cdn.shopify.com/s/files/1/0666/3041/products/Design-6C-800x1167.jpg?v=1571438799,
,,,Adamjee Lawn Festive Mid-Summer Collection 2016 – Design 6 - Chintz Palampose,,,,,https://cdn.shopify.com/s/files/1/0666/3041/products/d06-back-800x1167.jpg?v=1571438799,
,,,Adamjee Lawn Festive Mid-Summer Collection 2016 – Design 6 - Chintz Palampose,,,,,https://cdn.shopify.com/s/files/1/0666/3041/products/Design-6-800x1167.jpg?v=1571438799,
'-Design 14 - Forever Floral,Adamjee Lawn Festive Mid-Summer Collection 2016,Pakistani Suit,Adamjee Lawn Festive Mid-Summer Collection 2016 – Design 14 - Forever Floral,Default Title,2775.00,No,https://www.yourlibaas.com/products/adamjee-lawn-festive-mid-summer-collection-2016-design-14-forever-floral,https://cdn.shopify.com/s/files/1/0666/3041/products/Design-14C-800x1167.jpg?v=1571438799,"<table id=""hb_msg_container"" class=""hb-headline-text"" width=""100%""><tbody><tr><td style=""width: 25.7009%;"">Brand</td><td style=""width: 72.1184%;"">Adamjee Lawn (100% Original)</td></tr><tr><td style=""width: 25.7009%;"">Fabric</td><td style=""width: 72.1184%;"">Cambric Shirt<br>Embroidered Neckline<br>Embroidered Organza Patti<br>Printed Trouser 2.5m<br>Voil Dupatta 2.5m</td></tr><tr><td style=""width: 25.7009%;"">Size</td><td style=""width: 72.1184%;"">Free Size – Unstitched</td></tr><tr><td style=""width: 25.7009%;""><span>100% Original</span></td><td style=""width: 72.1184%;""><span>Authenticity Guaranteed</span></td></tr></tbody></table>"
,,,Adamjee Lawn Festive Mid-Summer Collection 2016 – Design 14 - Forever Floral,,,,,https://cdn.shopify.com/s/files/1/0666/3041/products/d14-800x1167.jpg?v=1571438799,
,,,Adamjee Lawn Festive Mid-Summer Collection 2016 – Design 14 - Forever Floral,,,,,https://cdn.shopify.com/s/files/1/0666/3041/products/Design-14B-800x1167.jpg?v=1571438799,
