,,PLAYER,YRS,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,BA
76,1,Mookie Betts,6,136,520,129,180,47,5,32,80,81,91,30,6,.346
77,1,Mookie Betts,6,136,520,129,180,47,5,32,80,81,91,30,6,.346
78,1,Mookie Betts,6,136,520,129,180,47,5,32,80,81,91,30,6,.346
79,1,Mookie Betts,6,136,520,129,180,47,5,32,80,81,91,30,6,.346
80,1,Mookie Betts,6,136,520,129,180,47,5,32,80,81,91,30,6,.346
81,1,Mookie Betts,6,136,520,129,180,47,5,32,80,81,91,30,6,.346
82,1,Mookie Betts,6,136,520,129,180,47,5,32,80,81,91,30,6,.346
83,1,Mookie Betts,6,136,520,129,180,47,5,32,80,81,91,30,6,.346
84,1,Mookie Betts,6,136,520,129,180,47,5,32,80,81,91,30,6,.346
85,1,Mookie Betts,6,136,520,129,180,47,5,32,80,81,91,30,6,.346
86,1,Mookie Betts,6,136,520,129,180,47,5,32,80,81,91,30,6,.346
87,1,Mookie Betts,6,136,520,129,180,47,5,32,80,81,91,30,6,.346
88,1,Mookie Betts,6,136,520,129,180,47,5,32,80,81,91,30,6,.346
89,1,Mookie Betts,6,136,520,129,180,47,5,32,80,81,91,30,6,.346
90,1,Mookie Betts,6,136,520,129,180,47,5,32,80,81,91,30,6,.346
91,1,Mookie Betts,6,136,520,129,180,47,5,32,80,81,91,30,6,.346
92,1,Mookie Betts,6,136,520,129,180,47,5,32,80,81,91,30,6,.346
93,1,Mookie Betts,6,136,520,129,180,47,5,32,80,81,91,30,6,.346
94,1,Mookie Betts,6,136,520,129,180,47,5,32,80,81,91,30,6,.346
95,1,Mookie Betts,6,136,520,129,180,47,5,32,80,81,91,30,6,.346
96,1,Mookie Betts,6,136,520,129,180,47,5,32,80,81,91,30,6,.346
97,1,Mookie Betts,6,136,520,129,180,47,5,32,80,81,91,30,6,.346
98,1,Mookie Betts,6,136,520,129,180,47,5,32,80,81,91,30,6,.346
99,1,Mookie Betts,6,136,520,129,180,47,5,32,80,81,91,30,6,.346
100,1,Mookie Betts,6,136,520,129,180,47,5,32,80,81,91,30,6,.346
101,1,Mookie Betts,6,136,520,129,180,47,5,32,80,81,91,30,6,.346
102,1,Mookie Betts,6,136,520,129,180,47,5,32,80,81,91,30,6,.346
103,1,Mookie Betts,6,136,520,129,180,47,5,32,80,81,91,30,6,.346
104,1,Mookie Betts,6,136,520,129,180,47,5,32,80,81,91,30,6,.346
105,1,Mookie Betts,6,136,520,129,180,47,5,32,80,81,91,30,6,.346
106,1,Mookie Betts,6,136,520,129,180,47,5,32,80,81,91,30,6,.346
107,1,Mookie Betts,6,136,520,129,180,47,5,32,80,81,91,30,6,.346
108,1,Mookie Betts,6,136,520,129,180,47,5,32,80,81,91,30,6,.346
109,1,Mookie Betts,6,136,520,129,180,47,5,32,80,81,91,30,6,.346
110,1,Mookie Betts,6,136,520,129,180,47,5,32,80,81,91,30,6,.346
111,1,Mookie Betts,6,136,520,129,180,47,5,32,80,81,91,30,6,.346
