Date,Open,High,Low,Close,Adj Close,Volume
2020-07-08,174.1300048828125,175.30999755859375,172.52999877929688,175.25999450683594,174.4066619873047,1214200
2020-07-09,174.66000366210938,175.35000610351562,169.6199951171875,170.91000366210938,170.07785034179688,1815000
2020-07-10,170.80999755859375,171.69000244140625,169.14999389648438,170.85000610351562,170.0181427001953,1283300
2020-07-13,172.3800048828125,177.41000366210938,171.27999877929688,175.1300048828125,174.27731323242188,1144600
2020-07-14,174.0500030517578,178.39999389648438,173.38999938964844,177.92999267578125,177.06365966796875,1045300
2020-07-15,181.30999755859375,182.13999938964844,179.16000366210938,181.27999877929688,180.39735412597656,1357300
2020-07-16,181.0,185.7899932861328,180.3000030517578,182.9199981689453,182.0293731689453,1431300
2020-07-17,184.1699981689453,189.02000427246094,183.82000732421875,188.25,187.3334197998047,1979400
2020-07-20,186.77000427246094,187.74000549316406,184.33999633789062,186.1699981689453,185.2635498046875,1943000
2020-07-21,186.5,189.77000427246094,186.24000549316406,187.17999267578125,186.2686309814453,1335100
2020-07-22,186.0,191.17999267578125,185.92999267578125,189.0800018310547,188.1593780517578,1436000
2020-07-23,187.91000366210938,188.8000030517578,185.75999450683594,186.97999572753906,186.06961059570312,1844600
2020-07-24,187.00999450683594,188.36000061035156,186.6199951171875,187.00999450683594,186.09945678710938,1099300
2020-07-27,186.47000122070312,190.74000549316406,185.1699981689453,189.92999267578125,189.00523376464844,1418300
2020-07-28,189.3300018310547,189.91000366210938,184.2100067138672,185.10000610351562,184.19876098632812,1850700
2020-07-29,188.07000732421875,193.8800048828125,185.19000244140625,192.82000732421875,191.8811798095703,2315500
2020-07-30,190.9600067138672,191.0800018310547,186.14999389648438,188.8699951171875,187.95040893554688,1631700
2020-07-31,190.9600067138672,193.22000122070312,184.9199981689453,192.2100067138672,191.27415466308594,1746200
2020-08-03,192.3800048828125,193.17999267578125,188.55999755859375,190.47000122070312,189.54261779785156,1224300
2020-08-04,189.4600067138672,192.5500030517578,189.02999877929688,192.38999938964844,191.45326232910156,1319900
